element,web_name,team,pos,price,xp_total,gws,xp_per_gw,value
506,Udogie,TOT,DEF,4.5,7.29145835042816,6,1.2152430584046934,1.6203240778729244
255,J.Cuenca,FUL,DEF,4.5,7.223968016946612,6,1.2039946694911021,1.605326225988136
579,Araujo,LIV,DEF,5.4,7.18246609752256,6,1.1970776829204266,1.3300863143560295
253,Andersen,FUL,DEF,5.0,7.138001650058726,6,1.1896669416764543,1.4276003300117452
90,Hickey,BRE,DEF,4.5,7.13566666715061,6,1.189277777858435,1.5857037038112467
519,Gallagher,TOT,MID,5.4,7.09503699847241,6,1.1825061664120684,1.3138957404578535
81,Rodríguez,BOU,FWD,6.0,7.085981351310532,6,1.1809968918850886,1.1809968918850886
630,Harwood-Bellis,AVL,DEF,4.5,7.056517594893028,6,1.1760862658155047,1.5681150210873396
641,Bard,LEE,DEF,4.5,7.0190203506120525,6,1.1698367251020088,1.5597823001360116
539,O'Nien,SUN,DEF,4.0,6.998129239725015,6,1.1663548732875026,1.7495323099312539
347,Nmecha,LEE,FWD,5.5,6.996793608781655,6,1.1661322681302757,1.2721442925057553
650,Affengruber,FUL,DEF,4.5,6.850803944711536,6,1.1418006574519226,1.5224008766025634
56,Abraham,AVL,FWD,5.5,6.749787418948462,6,1.1249645698247437,1.2272340761724476
594,David,BHA,FWD,6.0,6.666805334653314,6,1.111134222442219,1.111134222442219
129,Ayari,BHA,MID,5.4,6.585647694216543,6,1.0976079490360904,1.2195643878178781
157,Estêvão,CHE,MID,6.4,6.540886623749829,6,1.0901477706249716,1.0220135349609107
649,Maitland-Niles,EVE,DEF,4.5,6.512983461280577,6,1.0854972435467627,1.4473296580623503
243,Alcaraz,EVE,MID,5.0,6.47329106079493,6,1.0788818434658216,1.294658212158986
608,Jebbison,BOU,FWD,5.0,6.469015855724173,6,1.078169309287362,1.2938031711448346
125,Georginio,BHA,FWD,5.5,6.4583129002632536,6,1.0763854833772089,1.1742387091387734
29,M.Bizot,AVL,GK,4.5,6.426689974655266,6,1.0711149957758777,1.4281533277011702
512,Kudus,TOT,MID,6.5,6.351944260590729,6,1.0586573767651215,0.9772221939370352
289,Crooks,HUL,MID,4.5,6.236059362663516,6,1.039343227110586,1.3857909694807813
321,Walle Egeli,IPS,FWD,4.5,6.210215282856021,6,1.0350358804760036,1.3800478406346715
493,Kalimuendo,NFO,FWD,5.4,6.2046597652759345,6,1.0341099608793225,1.1490110676436915
482,Hudson-Odoi,NFO,MID,5.9,6.1785319082003936,6,1.029755318033399,1.0472087980000666
547,Mundle,SUN,MID,5.0,5.949929560516639,6,0.9916549267527732,1.1899859121033278
461,Touré,NEW,MID,5.9,5.916780928047962,6,0.9861301546746604,1.0028442250928749
595,Gozo,CRY,MID,5.0,5.906045546688183,6,0.9843409244480306,1.1812091093376367
185,Sakamoto,COV,MID,4.9,5.902098684286163,6,0.9836831140476939,1.2045099355686046
155,Enzo,MCI,MID,6.9,5.886589104266594,6,0.9810981840444324,0.8531288556908108
568,Barco,CHE,MID,5.5,5.829268784688233,6,0.9715447974480389,1.059867051761497
589,Gourna-Douath,HUL,MID,5.0,5.8087960057250045,6,0.968132667620834,1.1617592011450009
75,Christie,BOU,MID,5.0,5.757348092280373,6,0.9595580153800621,1.1514696184560747
375,Nyoni,LIV,MID,4.9,5.727103986443181,6,0.9545173310738635,1.1687967319271797
396,Vitor Reis,MCI,DEF,4.5,5.689794092978912,6,0.9482990154964853,1.264398687328647
